ntrees,acc,prec,recall,f1
1,0.8377777777777778,0.837433130243609,0.8377777777777778,0.8371279439514734
5,0.8566666666666667,0.8727182994005582,0.8355555555555556,0.8533163895829988
10,0.8555555555555555,0.8890068826994522,0.8133333333333332,0.8486925514721086
20,0.857777777777778,0.883895649041348,0.8244444444444443,0.8526310150181086
30,0.8566666666666667,0.8855334538878843,0.82,0.8509310874655188
40,0.861111111111111,0.8927876045523104,0.8222222222222222,0.8552577098205407
50,0.8633333333333333,0.8933222531943759,0.8266666666666665,0.8577957491610185
