ntrees,acc,prec,recall,f1
1,0.9139207387456715,0.9286415172072502,0.9355633802816902,0.9318127161153592
5,0.9419930742593305,0.9427414033752062,0.9663536776212833,0.9543412273533958
10,0.9507195075028857,0.9534311679159803,0.969131455399061,0.9610431797772374
20,0.9577683724509427,0.9570354059899842,0.9775430359937403,0.9668674062706781
30,0.9718353212774143,0.970122176971492,0.9859546165884193,0.9778319874635416
40,0.9683570604078492,0.9648979390349254,0.9859546165884193,0.9751483027473311
50,0.9648480184686417,0.9594462015831879,0.9859546165884193,0.9724082198298738
