ntrees,acc,prec,recall,f1
1,0.706355353590161,0.7788985179191088,0.8043419267299864,0.7910969129267451
5,0.7664946192801592,0.7936616135899415,0.8976933514246948,0.8417211939905279
10,0.768600334599385,0.7912341637769666,0.906693803708729,0.844447220268607
20,0.7810144239464641,0.791534390572649,0.9307553143374039,0.8550199424885783
30,0.7894139989148128,0.7923718752424754,0.9458616010854817,0.8617576240657492
40,0.7935811177428107,0.7946420073706292,0.9488466757123474,0.864486300193575
50,0.7956644510761439,0.7939303891698837,0.9549072817729535,0.8664290779920043
