ntrees,acc,prec,recall,f1
1,0.7185524054982817,0.7882175914714671,0.8161917684305745,0.8012093750644722
5,0.7603739374208718,0.79123585959029,0.8887381275440976,0.8365818821696445
10,0.7480032555615844,0.7970213252862506,0.8557666214382632,0.8240468323594674
20,0.7791915355398806,0.7941894246162539,0.921935775667119,0.8523746839423783
30,0.7833367245433169,0.7959162138751082,0.927996381727725,0.8555351597529498
40,0.7750458943751131,0.7920801705092513,0.919041157847128,0.8492981631015484
50,0.7832933170555254,0.7957658285597317,0.927996381727725,0.8555033830660159
