ntrees,acc,prec,recall,f1
1,0.9438245479030396,0.9427275681908744,0.9692879499217527,0.955646449957807
5,0.9525817622162371,0.94865891527971,0.9776212832550861,0.9627914063472239
10,0.9542901115813776,0.9588756403462286,0.9691705790297339,0.9637427331819763
20,0.9577683724509427,0.9567258084667645,0.9775430359937403,0.9667107968643258
30,0.9507195075028857,0.9508894413004002,0.9719483568075118,0.9611826137839465
40,0.9577991535205849,0.9564863101849402,0.9775821596244132,0.9667972709943484
50,0.9577991535205849,0.9564863101849402,0.9775821596244132,0.9667972709943484
