ntrees,acc,prec,recall,f1
1,0.9137668333974605,0.9413817173583634,0.9215179968701095,0.930580868809918
5,0.9559984609465179,0.9571881836587719,0.9748043818466353,0.965402119406072
10,0.9542901115813773,0.9573791125160988,0.9720266040688574,0.964158471880214
20,0.9630165448249326,0.9626400996264011,0.9803599374021911,0.9710412248020781
30,0.96652558676414,0.9676960666506449,0.9803599374021911,0.9736692222576618
40,0.9629857637552904,0.9653037221530372,0.9775430359937403,0.9709016662839751
50,0.9647556752597153,0.9653037221530372,0.9803599374021911,0.9723822209706604
