ntrees,acc,prec,recall,f1
1,0.7833333333333334,0.7920910162799032,0.7688888888888888,0.7796555269948844
5,0.8400000000000001,0.8510678047813973,0.8244444444444443,0.8372903290730431
10,0.8488888888888889,0.8848678380564646,0.8022222222222222,0.8408628543611399
20,0.8544444444444445,0.8863720959466539,0.8133333333333332,0.8474939737544608
30,0.8577777777777778,0.8869539047835193,0.82,0.851577912597147
40,0.8555555555555555,0.881003324713461,0.8222222222222222,0.8502416556185377
50,0.8544444444444445,0.8844371410720552,0.8155555555555555,0.8482552163177978
