ntrees,acc,prec,recall,f1
1,0.9243247402847249,0.9314262561671398,0.9495305164319248,0.9402013253941055
5,0.9542901115813776,0.948971568971569,0.980399061032864,0.9642045114492074
10,0.9577683724509427,0.9597751320173815,0.9747261345852894,0.9666624607380532
20,0.9613081954597922,0.9593327216436209,0.9803599374021911,0.9695520765383779
30,0.9648172373989997,0.9624357926780421,0.9831768388106417,0.9724263038548753
40,0.9665871489034243,0.9648229050968778,0.9831768388106417,0.9737318457535746
50,0.9700961908426317,0.9724885844748858,0.9803599374021911,0.9763184325253291
