ntrees,acc,prec,recall,f1
1,0.7966666666666666,0.8004818323756229,0.7933333333333333,0.7950764675321642
5,0.8388888888888889,0.8603256767466945,0.8088888888888889,0.8332921813686666
10,0.8544444444444445,0.8918300078740083,0.8066666666666666,0.8466338491992736
20,0.8533333333333333,0.8859739846724464,0.8111111111111111,0.846682134785123
30,0.8577777777777778,0.8908271357956024,0.8155555555555555,0.8513343268558919
40,0.8577777777777778,0.8874352305876057,0.82,0.8520505140792329
50,0.8566666666666667,0.8890019447120225,0.8155555555555555,0.850471281464625
