ntrees,acc,prec,recall,f1
1,0.791442899765124,0.7526250130727743,0.6930093776641091,0.7186368767696236
5,0.7936900907763601,0.7626523386034256,0.6874254049445865,0.7198855400786582
10,0.8128737383355551,0.804638945849472,0.6845268542199489,0.7378536040051203
20,0.8185044118580587,0.8121773084749492,0.6931372549019608,0.7471674940006595
30,0.8173681203580271,0.8205702694871053,0.6842710997442456,0.7444521210055381
40,0.8151336253412049,0.8177880280638903,0.6785166240409207,0.7401910222896815
50,0.818491715863645,0.8233494092114781,0.6813299232736574,0.7446075678177397
