ntrees,acc,prec,recall,f1
1,0.7632958801498126,0.6925231502323477,0.7046888320545609,0.6963210083961059
5,0.8038595823017838,0.7740157119211003,0.7047740835464621,0.7356418196740083
10,0.808341268329842,0.8009867445600367,0.675532821824382,0.7318586628025763
20,0.8207769948581223,0.8122660187683653,0.7019607843137255,0.7519068224629151
30,0.8185171078524724,0.8156003548600441,0.6931798806479114,0.74746221876747
40,0.8151145813495843,0.8167563595824465,0.6814151747655585,0.7412520838238758
50,0.8173681203580271,0.8123601456471367,0.6930946291560103,0.7463447666957548
