ntrees,acc,prec,recall,f1
1,0.7208532284319046,0.7982973605924425,0.8013568521031207,0.7985252375123564
5,0.7435542141436065,0.7853618844439794,0.8675260063319765,0.8238100011026137
10,0.7209176614215952,0.782776977027549,0.828629579375848,0.8037506102886736
20,0.7560989781153916,0.7917540319749955,0.8826775214834915,0.8335819879396615
30,0.7623060227889311,0.7932434419904906,0.8916327453640888,0.8386102095982239
40,0.7686437420871768,0.7914721675679467,0.9067842605156038,0.8442790581308097
50,0.764411285946826,0.7903333292084824,0.9007236544549977,0.8409503343170757
