ntrees,acc,prec,recall,f1
1,0.7733955437059609,0.7032792543560601,0.7134271099744247,0.7076297464168622
5,0.7925474512791213,0.7604127700033095,0.6870843989769821,0.7198251920172594
10,0.8027359867961656,0.7913419776512756,0.6755754475703325,0.7262641011383804
20,0.8117247508411095,0.8041488635849721,0.6872122762148338,0.7391760655817303
30,0.8128610423411414,0.8053440859863696,0.690153452685422,0.741136712749616
40,0.8151209293467911,0.808819727016596,0.6930520034100598,0.7443223898138268
50,0.8151272773439979,0.8112462716203771,0.6872975277067349,0.7423627547698263
