ntrees,acc,prec,recall,f1
1,0.9191381300500192,0.9340448657612835,0.9383411580594678,0.9359123329735969
5,0.9473028087726048,0.9508821965484131,0.9663928012519563,0.9584407439959645
10,0.948980377068103,0.9584387271281717,0.9607589984350546,0.9594948346672485
20,0.9559984609465179,0.9617117117117117,0.9691314553990612,0.9652035937802242
30,0.9665563678337822,0.9620768322138187,0.9859546165884193,0.9737507691311247
40,0.9700961908426317,0.9647104247104247,0.9887715179968701,0.9764910200102512
50,0.968326279338207,0.9646690168429298,0.9859546165884193,0.9750320534449017
