ntrees,acc,prec,recall,f1
1,0.7790896972005332,0.7123058287081667,0.7138107416879795,0.712464946079886
5,0.7959563257792167,0.7641838467135581,0.6872975277067349,0.7227932102423889
10,0.8139719418523456,0.8065811505458083,0.6871270247229326,0.7407980983150974
20,0.8151018853551705,0.8052537367679797,0.6930520034100598,0.74375232973037
30,0.812829302355107,0.7993190525949148,0.6959505541346973,0.7422221002405073
40,0.8173490763664064,0.8129981110826667,0.6930520034100598,0.7462081832636358
50,0.8083285723354281,0.801628796531259,0.6783887468030689,0.7331065386216322
