ntrees,acc,prec,recall,f1
1,0.6936150298426478,0.7887755529759424,0.7714156490275894,0.7768375633563155
5,0.7372384246699222,0.7837203399118644,0.8616010854816825,0.8196226028221331
10,0.7330283505154639,0.7836869765105059,0.8524649479873361,0.8159178252795275
20,0.749891933441852,0.7888136372929871,0.8767073722297603,0.8291885296598656
30,0.762436245252306,0.7904750578004871,0.8978290366350068,0.8394542804857238
40,0.766603816241635,0.7931280738385262,0.9008141112618725,0.8423183317746249
50,0.7748507867607162,0.7951534791404252,0.9127996381727724,0.8489317933857029
