ntrees,acc,prec,recall,f1
1,0.8066666666666666,0.7983595723369044,0.82,0.8086276932086987
5,0.8477777777777777,0.8716792065663475,0.8155555555555555,0.8425477463712758
10,0.8533333333333333,0.891689702533076,0.8044444444444444,0.8456369134940152
20,0.8622222222222223,0.8959306416169162,0.82,0.8559815548231168
30,0.8655555555555555,0.9026371740833301,0.82,0.8589518639965215
40,0.8655555555555555,0.9007306227264467,0.8222222222222222,0.8592406656207825
50,0.8644444444444446,0.8964783041779987,0.8244444444444443,0.8585465659937629
