ntrees,acc,prec,recall,f1
1,0.7801117247508411,0.748873237819718,0.6550724637681159,0.6963537241085512
5,0.8072303688186377,0.8047084796226054,0.6608269394714409,0.7253045832931105
10,0.8038278423157493,0.8169482547117208,0.637382779198636,0.714714956586982
20,0.8004316638100679,0.8153392639106926,0.6256180733162829,0.7069008540491575
30,0.8083158763410143,0.8337654043285141,0.6315004262574594,0.71776901819795
40,0.8071859328381896,0.836176255978326,0.6256606990622335,0.7145794659211415
50,0.8015616073128928,0.8174276587929485,0.6285592497868713,0.709204747219886
