ntrees,acc,prec,recall,f1
1,0.729447458853319,0.8011458029729907,0.8137494346449572,0.8040366889690921
5,0.7582910562488696,0.7898559285757966,0.8887381275440976,0.8356442648738028
10,0.7603529119189727,0.8008877091377091,0.8737222976028945,0.8343448683817511
20,0.7686871495749683,0.7940474391493086,0.9038896426956129,0.8438797811306387
30,0.7624147675890758,0.7873927449363104,0.9037991858887381,0.8404904443570945
40,0.7853556248869596,0.7931611742634045,0.9369063772048847,0.858183402705806
50,0.799983722192078,0.8057289465826051,0.9399366802351878,0.8669075320537128
