ntrees,acc,prec,recall,f1
1,0.7822222222222223,0.7934469987500967,0.7666666666666666,0.7786234690560273
5,0.8377777777777776,0.8620988106240517,0.8044444444444444,0.8316663365842798
10,0.8533333333333333,0.8951894494734152,0.8,0.8444369506687744
20,0.86,0.8891129459332054,0.8222222222222223,0.8540982583308164
30,0.8588888888888888,0.8890807960023818,0.82,0.8528627342484552
40,0.861111111111111,0.8867446581624223,0.8288888888888888,0.8563669497733679
50,0.8644444444444443,0.8927409405583375,0.8288888888888888,0.8592669068471146
