ntrees,acc,prec,recall,f1
1,0.7587824541357202,0.6764208440945264,0.7222080136402387,0.6977028030235868
5,0.8173363803719926,0.7882538099985756,0.7250639386189258,0.7543207469236529
10,0.8173363803719926,0.8128036729248418,0.6929241261722081,0.7464186677775564
20,0.821868850377706,0.8200991609458429,0.6959931798806479,0.7515287456496055
30,0.8151145813495841,0.804686330618534,0.6931798806479114,0.743207851192514
40,0.8185044118580589,0.8183342193868508,0.6843989769820972,0.7443273796243017
50,0.817368120358027,0.8181641466424076,0.6843563512361467,0.7436297344809035
